code,theme,name,price,rating,pieces,vip_points,URL,scraped_on
10255,Creator Expert,Assembly Square,299.99,4.8,4002.0,1950,https://www.lego.com/en-us/product/assembly-square-10255,2023-04-23
10265,Creator Expert,Ford Mustang,169.99,4.7,1471.0,1105,https://www.lego.com/en-us/product/ford-mustang-10265,2023-04-23
10266,Creator Expert,NASA Apollo 11 Lunar Lander,99.99,4.8,1087.0,650,https://www.lego.com/en-us/product/nasa-apollo-11-lunar-lander-10266,2023-04-23
10270,Creator Expert,Bookshop,199.99,4.3,2504.0,1300,https://www.lego.com/en-us/product/bookshop-10270,2023-04-23
10273,Creator Expert,Haunted House,299.99,4.5,3231.0,1950,https://www.lego.com/en-us/product/haunted-house-10273,2023-04-23
10274,LEGO® Icons,Ghostbusters™ ECTO-1,239.99,4.6,2352.0,1560,https://www.lego.com/en-us/product/tbd-expert-5-2020-10274,2023-04-23
10276,LEGO® Icons,Colosseum,549.99,4.5,9036.0,3575,https://www.lego.com/en-us/product/colosseum-10276,2023-04-23
10278,LEGO® Icons,Police Station,199.99,,2923.0,1300,https://www.lego.com/en-us/product/police-station-10278,2023-04-23
10280,LEGO® Icons,Flower Bouquet,59.99,4.7,756.0,390,https://www.lego.com/en-us/product/flower-bouquet-10280,2023-04-23
10281,LEGO® Icons,Bonsai Tree,49.99,,878.0,325,https://www.lego.com/en-us/product/bonsai-tree-10281,2023-04-23
10283,LEGO® Icons,NASA Space Shuttle Discovery,199.99,4.7,2354.0,1300,https://www.lego.com/en-us/product/nasa-space-shuttle-discovery-10283,2023-04-23
10284,LEGO® Icons,Camp Nou – FC Barcelona,349.99,4.2,5509.0,1365,https://www.lego.com/en-us/product/camp-nou-fc-barcelona-10284,2023-04-23
10289,LEGO® Icons,Bird of Paradise,99.99,4.6,1173.0,650,https://www.lego.com/en-us/product/tbd-lifestyle-3-2021-10289,2023-04-23
10290,LEGO® Icons,Pickup Truck,129.99,4.2,1677.0,845,https://www.lego.com/en-us/product/tbd-vehicle-2021-10290,2023-04-23
10291,LEGO® Icons,Queer Eye – The Fab 5 Loft,99.99,4.1,974.0,390,https://www.lego.com/en-us/product/tdb-ip-entertainment-2021-10291,2023-04-23
10292,LEGO® Icons,The Friends Apartments,179.99,4.7,2048.0,1170,https://www.lego.com/en-us/product/the-friends-apartments-10292,2023-04-23
10293,LEGO® Icons,Santa’s Visit,99.99,4.7,1445.0,650,https://www.lego.com/en-us/product/santa-s-visit-10293,2023-04-23
10294,LEGO® Icons,LEGO® Titanic,679.99,4.7,9090.0,4420,https://www.lego.com/en-us/product/lego-titanic-10294,2023-04-23
10295,LEGO® Icons,Porsche 911,169.99,4.5,1458.0,1105,https://www.lego.com/en-us/product/porsche-911-10295,2023-04-23
